,Open
2014-07-07,1318.699951171875
2014-07-14,1332.800048828125
2014-07-21,1311.0
2014-07-28,1307.4000244140625
2014-08-04,1294.4000244140625
2014-08-11,1308.4000244140625
2014-08-18,1301.4000244140625
2014-08-25,1277.300048828125
2014-09-01,1277.300048828125
2014-09-08,1268.4000244140625
2014-09-15,1226.699951171875
2014-09-22,1214.9000244140625
2014-09-29,1216.300048828125
2014-10-06,1187.699951171875
2014-10-13,1229.800048828125
2014-10-20,1237.300048828125
2014-10-27,1230.199951171875
2014-11-03,1166.4000244140625
2014-11-10,1171.0
2014-11-17,1183.0999755859375
2014-11-24,1197.699951171875
2014-12-01,1160.0
2014-12-08,1190.5999755859375
2014-12-15,1223.0999755859375
2014-12-22,1198.0
2014-12-29,1186.5
2015-01-05,1180.300048828125
2015-01-12,1224.199951171875
2015-01-19,1224.199951171875
2015-01-26,1289.5
2015-02-02,1284.0999755859375
2015-02-09,1237.5
2015-02-16,1237.5
2015-02-23,1201.300048828125
2015-03-02,1214.300048828125
2015-03-09,1169.4000244140625
2015-03-16,1159.699951171875
2015-03-23,1181.5999755859375
2015-03-30,1198.0
2015-04-06,1209.9000244140625
2015-04-13,1208.0999755859375
2015-04-20,1205.699951171875
2015-04-27,1182.300048828125
2015-05-04,1177.5
2015-05-11,1189.699951171875
2015-05-18,1224.5
2015-05-25,1224.5
2015-06-01,1190.5999755859375
2015-06-08,1169.5
2015-06-15,1179.9000244140625
2015-06-22,1197.800048828125
2015-06-29,1185.0999755859375
2015-07-06,1171.0999755859375
2015-07-13,1159.0
2015-07-20,1130.4000244140625
2015-07-27,1100.0
2015-08-03,1095.5
2015-08-10,1093.199951171875
2015-08-17,1113.800048828125
2015-08-24,1164.0
2015-08-31,1131.0999755859375
2015-09-07,1131.0999755859375
2015-09-14,1107.800048828125
2015-09-21,1137.5999755859375
2015-09-28,1133.199951171875
2015-10-05,1137.0999755859375
2015-10-12,1155.9000244140625
2015-10-19,1176.5
2015-10-26,1165.0999755859375
2015-11-02,1137.9000244140625
2015-11-09,1088.5999755859375
2015-11-16,1092.0
2015-11-23,1070.0
2015-11-30,1056.5
2015-12-07,1084.9000244140625
2015-12-14,1074.0
2015-12-21,1070.199951171875
2015-12-28,1077.9000244140625
2016-01-04,1063.4000244140625
2016-01-11,1105.699951171875
2016-01-18,1105.699951171875
2016-01-25,1099.300048828125
2016-02-01,1116.699951171875
2016-02-08,1173.5
2016-02-15,1173.5
2016-02-22,1226.0999755859375
2016-02-29,1218.5999755859375
2016-03-07,1259.800048828125
2016-03-14,1256.0
2016-03-21,1256.199951171875
2016-03-28,1211.5
2016-04-04,1221.699951171875
2016-04-11,1241.5
2016-04-18,1238.699951171875
2016-04-25,1231.5999755859375
2016-05-02,1292.0999755859375
2016-05-09,1286.5
2016-05-16,1272.800048828125
2016-05-23,1251.5999755859375
2016-05-30,1251.5999755859375
2016-06-06,1244.4000244140625
2016-06-13,1276.199951171875
2016-06-20,1288.9000244140625
2016-06-27,1330.0
2016-07-04,1330.0
2016-07-11,1371.699951171875
2016-07-18,1327.5
2016-07-25,1315.699951171875
2016-08-01,1348.800048828125
2016-08-08,1330.0
2016-08-15,1336.5
2016-08-22,1334.4000244140625
2016-08-29,1315.0
2016-09-05,1315.0
2016-09-12,1327.0
2016-09-19,1313.5
2016-09-26,1335.199951171875
2016-10-03,1313.5
2016-10-10,1313.5
2016-10-17,1249.9000244140625
2016-10-24,1269.199951171875
2016-10-31,1276.5999755859375
2016-11-07,1292.0
2016-11-14,1227.800048828125
2016-11-21,1209.5999755859375
2016-11-28,1188.0
2016-12-05,1181.800048828125
2016-12-12,1158.300048828125
2016-12-19,1139.4000244140625
2016-12-26,1139.4000244140625
2017-01-02,1139.4000244140625
2017-01-09,1173.9000244140625
2017-01-16,1173.9000244140625
2017-01-23,1212.0
2017-01-30,1191.699951171875
2017-02-06,1221.9000244140625
2017-02-13,1230.5
2017-02-20,1230.5
2017-02-27,1254.699951171875
2017-03-06,1235.199951171875
2017-03-13,1206.199951171875
2017-03-20,1229.300048828125
2017-03-27,1255.800048828125
2017-04-03,1247.5
2017-04-10,1252.699951171875
2017-04-17,1291.800048828125
2017-04-24,1275.0
2017-05-01,1268.699951171875
2017-05-08,1224.0
2017-05-15,1227.5
2017-05-22,1251.699951171875
2017-05-29,1251.699951171875
2017-06-05,1279.199951171875
2017-06-12,1266.4000244140625
2017-06-19,1252.0999755859375
2017-06-26,1260.199951171875
2017-07-03,1260.199951171875
2017-07-10,1211.4000244140625
2017-07-17,1229.9000244140625
